a1,a2,a3,a4,a5,a6,d1,d2,d3,d4,d5,d6,result
atsuko,marina,haruka,shun,iroha,nodoka_hotspring,tsubaki,shun,haruka,iori,serika_newyear,iroha,0
marina,shun,atsuko,haruna,iroha,serina,tsubaki,shun,haruka,iori,serika_newyear,iroha,1
shun,tsubaki,neru_bunny,mutsuki_newyear,iroha,serika_newyear,marina,atsuko,shun,haruna,iroha,serina,0
haruka,shun,tsubaki,iori,iroha,nodoka_hotspring,marina,atsuko,shun,haruna,iroha,serina,0
haruka,shun,yuuka,iori,iroha,nodoka_hotspring,marina,atsuko,shun,haruna,iroha,serina,0
iori,marina,haruka,shun,hibiki,iroha,marina,atsuko,shun,haruna,iroha,serina,0
tsurugi,marina,shun,hoshino,nodoka_hotspring,iroha,marina,atsuko,shun,haruna,iroha,serina,0
tsurugi,marina,shun,neru_bunny,nodoka_hotspring,iroha,marina,atsuko,shun,haruna,iroha,serina,0
tsurugi,marina,shun,neru_bunny,nodoka_hotspring,iroha,marina,atsuko,shun,haruna,iroha,serina,0
atsuko,marina,shun,hoshino,nodoka_hotspring,iroha,marina,atsuko,shun,haruna,iroha,serina,1
shun,tsubaki,neru_bunny,mutsuki_newyear,iroha,serika_newyear,marina,atsuko,shun,haruna,iroha,serina,1
tsurugi,marina,shun,hoshino,nodoka_hotspring,mari,marina,atsuko,shun,haruna,iroha,serina,0
tsurugi,marina,shun,hoshino,nodoka_hotspring,mari,marina,atsuko,shun,haruna,iroha,serina,0
tsurugi,marina,shun,yuuka,nodoka_hotspring,hanae,marina,atsuko,shun,haruna,iroha,serina,0
tsurugi,marina,shun,yuuka,nodoka_hotspring,hanae,marina,atsuko,shun,haruna,iroha,serina,1
shun,haruka,iori,tsubaki,iroha,hibiki,marina,atsuko,shun,haruna,iroha,serina,0
atsuko,marina,shun,haruna,iroha,mashiro_swimsuit,haruka,atsuko,marina,shun,nodoka_hotspring,iroha,1
haruka,tsubaki,shun,iori,mashiro,iroha,marina,atsuko,shun,haruna,iroha,serina,1
atsuko,marina,shun,haruna,iroha,mashiro_swimsuit,tsubaki,haruka,iori,shun,mashiro,iroha,0
haruna,shun,marina,atsuko,iroha,mashiro_swimsuit,tsubaki,haruka,iori,shun,mashiro,iroha,1
